caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
102830,4.64285714285714,1,82114,1,2,29,S,4,1,2,2,2,3,4,4,2, ,1,1,1,1,1,1,1,2, , , , ,1,1,1,1,1,1,2, , , ,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,3,1,2,1,3,2,1,6,1,57,3, ,2,1,1, , , ,1, ,1,5,2, ,10, , ,4,4,1,3,1,2,1, ,2,2,1, , 
102833,2.78571428571429,1,82414,1,3,1,S,3,1,2,2,1,3,3,4,3, ,2,1,1,1,9,1,2,1,1,2, , ,1,1,1,1,2,2,1, , , ,1,2,2,9,9,1,2,2,1,2,1,1,2,2,1,9,4,2,2,9,3,1,2,1,2,2,9,4,1,38,6,2,2,1,1, , , ,1, ,1,3,2, ,1, ,1,4,4,3,3,1,3,2,2,1,1,1, , 
102839,5.07142857142857,1,82114,1,3,48,S,2,1,2,2,1,4,4,1,1, ,3,1,2,1,1,1,2,1,1,4, , ,9,9,2,1,2,9,1, , , ,2,1,2,1,2,1,9,1,1,1,1,1,3,2,1,2,2,2,2,1,1,1,2,1,3,2,1,6,1,60,2, ,2,1,1, , , ,1, ,1,1,2, ,13, ,2,5,10,1,9,1,1,9,9,1,1,1, , 
102844,23.0714285714286,1,82114,1,3,47,R,1,2,2,2,1,3,3,4, ,3,2,1,1,2,1,1,1,2, , , , ,2,2,1,2, ,1, ,1,2, ,2,1,2,9,1,1,1,2,2,1,2,2,2,2,2,1,3,2,1,1,1,1,1,8,2,1,1,2,2,76,3, ,2,1,1, , , ,1, ,1,5,1, ,1, ,1,1,2,1,1, ,2,4,2,2,2,1, , 
102849,1,1,82414,1,3,48,U,3,2,2,1,1,3,1,3, ,2,9,2,1,1,1,1,1,1, , , , ,1,1,2,2, ,2, ,1,1, ,1,1,1,9,9,9,2,1,1,9,1,1,9,1,1,2,1,1,2,1,3,9,8,8,8,8,9,0,1,80,6,1,2,1,1, , , ,1, ,2,1,2,1,1, ,1,6,10,1,1, ,3,1, ,2,2,1, , 
102859,8.57142857142857,1,82114,1,2,18,U,2,1,2,3,1,4,4,1,2, ,1,2,2,2,2,2,2,2, , , , ,2,2,2,1,1,1,3, , , ,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,3,3,2,8,2,2,1,3,1,70,8,2,2,9,9, , , ,9, ,1,1,2, ,99,1,9,3,10,1,9,9,2,2,2,1,1,1, , 
102894,5.35714285714286,1,82114,1,2,29,S,4,1,2,3,2,3,4,9,4, ,4,1,1,1,2,2,2,2, , , , ,2,2,1,2, ,2,2, , , ,1,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,4,2,2,2,1,1,9,9,9,9,1,2,2,82,4, ,2,1,1, , , ,1, ,1,5,2, ,3, ,1,1,2,1,3,2,2,1, ,2,2,2, , 
102897,2.85714285714286,1,82114,1,2,17,U,5,2,2,3,1,4,3,1, ,3,3,2,1,1,1,2,2,2, , , , ,2,1,2,1,2,1, ,2, ,2,1,1,2,1,1,1,1,2,1,1,9,1,2,2,1,2,2,1,2,1,3,1,1,8,3,2,4,3,2,72,5, ,2,1,1, , , ,1, ,1,1,2, ,2, ,2,2,5,1,3,1,2,3,3,2,2,1, , 
102899,2.5,1,82414,1,3,48,U,4,2,2,3,3,9,3,2, ,3,2,9,2,2,2,2,1,2, , , , ,9,9,2,2, ,2, ,9, , ,2,2,9,9,2,9,9,1,2,9,1,9,3,2,9,2,2,2,9,1,9,3,2,9,9,9,1,2,2,66,6,1,2,1,1, , , ,1, ,1,5,2, ,1, ,1,1,3,1,5,1,2,6,3,1,2,2,1, 
102902,5.35714285714286,1,82114,1,2,29,S,4,1,2,4,1,3,3,4,1, ,4,1,2,1,2,1,1,1,1,3, , ,2,1,2,1,2,1,3, , , ,1,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,3,1,2,3,3,2,1,5,1,52,4, ,2,1,1, , , ,1, ,1,1,1, ,1, ,1,5,5,3,3,9,2,3,1,1,2,1, , 
